source,id,scientificName,species,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,eventDate,year,country,region,basisOfRecord,datasetKey,datasetName,datasetDOI,publisher,publishingOrgKey,institutionCode,license,license_raw,occurrenceID,qc_flags,usable_mapa
GBIF,2235939121,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,51.32,-28.87,3516,3505,3527,2009-06-27,2009,,Atlántico Norte,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Biology,10.15468/hnhrg3,"National Museum of Natural History, Smithsonian Institution",bc092ff0-02e4-11dc-991f-b8a03c50a862,USNM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://n2t.net/ark:/65665/37283fec5-893c-4bc6-889e-610de3ef6b9b,,si
GBIF,2235810557,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,53.28,-36.77,3055.5,3048,3063,2009-07-03,2009,,Atlántico Norte,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Biology,10.15468/hnhrg3,"National Museum of Natural History, Smithsonian Institution",bc092ff0-02e4-11dc-991f-b8a03c50a862,USNM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://n2t.net/ark:/65665/32aff5c49-f5ba-438c-bf41-7aa0d8ad685c,,si
GBIF,2235916624,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,51.53,-30.97,3458.5,3452,3465,2009-07-01,2009,,Atlántico Norte,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Biology,10.15468/hnhrg3,"National Museum of Natural History, Smithsonian Institution",bc092ff0-02e4-11dc-991f-b8a03c50a862,USNM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://n2t.net/ark:/65665/365ed528b-7304-4dac-8921-ad5736b5f399,,si
GBIF,2235917805,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,53.13,-34.77,2340,2306,2374,2009-07-05,2009,,Atlántico Norte,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d,NMNH Extant Biology,10.15468/hnhrg3,"National Museum of Natural History, Smithsonian Institution",bc092ff0-02e4-11dc-991f-b8a03c50a862,USNM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,http://n2t.net/ark:/65665/3669922d5-a340-40f2-9804-963b4dc5a85b,,si
GBIF,2650394697,"Grimpoteuthis G.C.Robson, 1932",,39.943833,-67.2515,2652,2651,2653,2005-04-20T16:07Z,2005,United States of America,Atlántico Norte,HUMAN_OBSERVATION,fe388907-e2b6-44be-a9cb-a80b3924284c,Northeast Fisheries Science Center Bottom Trawl Survey Data,10.15468/8c5pvg,United States Geological Survey,c3ad790a-d426-4ac1-8e32-da61f81f0117,"NOAA;NMFS;NEFSC",CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,f37e43de-b733-11ea-a9a7-a7e94413c0ba,,si
GBIF,5792089797,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,51.549,-30.968,3458.5,3452,3465,2004-07-21T06:37:12Z,2004,,Atlántico Norte,OCCURRENCE,108dc817-2b94-4a00-a185-90613603473a,MAR-ECO 2004,10.15468/j94nku,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,50,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,urn:catalog:50:MAR-ECO - 2004:4656:0x5C1ECC0101000800,,si
GBIF,5792093424,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,51.33,-28.869,3516,3505,3527,2004-07-16T13:43:48Z,2004,,Atlántico Norte,OCCURRENCE,108dc817-2b94-4a00-a185-90613603473a,MAR-ECO 2004,10.15468/j94nku,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,50,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,urn:catalog:50:MAR-ECO - 2004:15795:0x5C1ECC0101000900,,si
GBIF,5792098299,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,42.81,-29.639,2085,2063,2107,2004-07-08T13:40:12Z,2004,Portugal,Atlántico Norte,OCCURRENCE,108dc817-2b94-4a00-a185-90613603473a,MAR-ECO 2004,10.15468/j94nku,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,50,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,urn:catalog:50:MAR-ECO - 2004:12543:0x5C1ECC0101000A00,,si
GBIF,5792112070,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,42.933,-29.536,1734.5,1702,1767,2004-07-09T17:51Z,2004,,Atlántico Norte,OCCURRENCE,108dc817-2b94-4a00-a185-90613603473a,MAR-ECO 2004,10.15468/j94nku,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,50,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,urn:catalog:50:MAR-ECO - 2004:13165:0x7122CC0101000700,,si
GBIF,4028258529,"Grimpoteuthis G.C.Robson, 1932",,-26.5236,166.574,1530,1530,1530,2003-05-20,2003,Norfolk Island,Pacífico Sur,PRESERVED_SPECIMEN,39905320-6c8a-11de-8226-b8a03c50a862,NORFANZ,10.15468/lp1ctu,Museums Victoria,4cff2aca-5ce5-4028-88e6-d79b6449173a,NMV,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,d2054412-05e2-4667-a817-4460251aaa85,,si
GBIF,1065185592,"Grimpoteuthis G.C.Robson, 1932",,10.7444,-103.6528,2574,2574,2574,2003-11-16,2003,,Pacífico Norte,PRESERVED_SPECIMEN,005eb8d8-ed94-41be-89cf-e3115a9058e4,FMNH Invertebrate Zoology,10.15468/6q5vuc,Field Museum,7b8aff00-a9f8-11d8-944b-b8a03c50a862,FMNH,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,b11fb248-ed91-40c7-890f-c3f2fda2bca7,,si
GBIF,1990943897,"Grimpoteuthis G.C.Robson, 1932",,40.719,-29.75,,,,2001-04-19,2001,Portugal,Atlántico Norte,OCCURRENCE,c063bd29-d63b-4ff5-bb79-adb1a4533b1a,COLETA - IMAR/DOP-UAz Reference Collection from 1977 to 2012.,10.14284/23,Institute of Marine Research,dfad10f6-d84b-4fa2-b6d0-df2a3eb38b65,IMAR/DOP,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,COLETA_342,sin_profundidad,si
GBIF,1990943799,"Grimpoteuthis G.C.Robson, 1932",,40.352,-26.824,,,,2001-05-05,2001,Portugal,Atlántico Norte,OCCURRENCE,c063bd29-d63b-4ff5-bb79-adb1a4533b1a,COLETA - IMAR/DOP-UAz Reference Collection from 1977 to 2012.,10.14284/23,Institute of Marine Research,dfad10f6-d84b-4fa2-b6d0-df2a3eb38b65,IMAR/DOP,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,COLETA_328,sin_profundidad,si
GBIF,2824608595,"Grimpoteuthis greeni Verhoeff & O'Shea, 2022",Grimpoteuthis greeni,-38.5647,149.44,,,,2000-04-19,2000,Australia,Pacífico Sur,PRESERVED_SPECIMEN,4ffe66a0-6c8b-11de-8226-b8a03c50a862,Tasmanian Museum and Art Gallery provider for OZCAM,10.15468/ijp8p9,Tasmanian Museum and Art Gallery,8a226609-56b9-4b87-a0a2-767c38edd572,TMAG,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,fd69d80a-9b12-4c55-b758-ed8be3231eb3,sin_profundidad,si
GBIF,5794508757,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,40,-40,3987.5,3972,4003,2000-09-18,2000,,Atlántico Norte,OCCURRENCE,2d880bf8-b3e1-4bc5-b46e-c961180ff869,Taxonomic Information System for the Belgian coastal area,10.15468/zx9xxx,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,VLIZ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,urn:catalog:VLIZ:Tisbe:317694,coordenada_generica_placeholder,no
GBIF,5794508758,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,40,-40,4840,4835,4845,2000-10-07,2000,,Atlántico Norte,OCCURRENCE,2d880bf8-b3e1-4bc5-b46e-c961180ff869,Taxonomic Information System for the Belgian coastal area,10.15468/zx9xxx,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,VLIZ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,urn:catalog:VLIZ:Tisbe:317695,coordenada_generica_placeholder,no
GBIF,5794508741,"Grimpoteuthis challengeri Collins, 2003",Grimpoteuthis challengeri,40,-40,4824,4811,4837,1999-04-26,1999,,Atlántico Norte,OCCURRENCE,2d880bf8-b3e1-4bc5-b46e-c961180ff869,Taxonomic Information System for the Belgian coastal area,10.15468/zx9xxx,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,VLIZ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,urn:catalog:VLIZ:Tisbe:317683,coordenada_generica_placeholder,no
GBIF,5794508756,"Grimpoteuthis discoveryi Collins, 2003",Grimpoteuthis discoveryi,40,-40,4824,4811,4837,1999-04-26,1999,,Atlántico Norte,OCCURRENCE,2d880bf8-b3e1-4bc5-b46e-c961180ff869,Taxonomic Information System for the Belgian coastal area,10.15468/zx9xxx,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,VLIZ,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,urn:catalog:VLIZ:Tisbe:317697,coordenada_generica_placeholder,no
